ID,ECO_ACT_ECO_ACT,ENV_OB_ID,CRITER_CRITER,LVL1_VAR,LVL1_VAL,LVL2_VAR,LVL2_VAL,LVL3_VAR,LVL3_VAL,LVL4_VAR,LVL4_VAL,SUBST
109,EA_C_MA,POL,POL_SECF_22,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,FLBOL,TYP_PLANT,Existing,SO2
110,EA_C_MA,POL,POL_SECP_20,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,SO2
111,EA_C_MA,POL,POL_SNCF_21,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,FLBOL,TYP_PLANT,New,SO2
112,EA_C_MA,POL,POL_SNCP_19,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,PCBOL,TYP_PLANT,New,SO2
113,EA_C_MA,POL,POL_SECF_22,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,FLBOL,TYP_PLANT,Existing,SO2
114,EA_C_MA,POL,POL_SECP_20,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,SO2
115,EA_C_MA,POL,POL_SNCF_21,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,FLBOL,TYP_PLANT,New,SO2
116,EA_C_MA,POL,POL_SNCP_19,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,New,SO2
117,EA_C_MA,POL,POL_MEL_42,TYP_COMB,LIGNITE,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,Existing,Mercury
118,EA_C_MA,POL,POL_MNL_41,TYP_COMB,LIGNITE,COMB_RANGE,100-300,COMB_UNIT,All Types,TYP_PLANT,New,Mercury
119,EA_C_MA,POL,POL_CECF_12,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,CO
120,EA_C_MA,POL,POL_CNCF_11,TYP_COMB,LIGNITE,COMB_RANGE,>=1000,COMB_UNIT,PCBOL,TYP_PLANT,New,CO
121,EA_C_MA,POL,POL_CECF_12,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,Existing,CO
122,EA_C_MA,POL,POL_CNCF_11,TYP_COMB,LIGNITE,COMB_RANGE,300-1000,COMB_UNIT,PCBOL,TYP_PLANT,New,CO
123,EA_C_MA,POL,POL_CEC_10,TYP_COMB,COAL,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,Existing,CO
124,EA_C_MA,POL,POL_CNC_9,TYP_COMB,COAL,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,New,CO
125,EA_C_MA,POL,POL_DEC_32,TYP_COMB,COAL,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,Existing,dust
126,EA_C_MA,POL,POL_DNC_31,TYP_COMB,COAL,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,New,dust
127,EA_C_MA,POL,POL_HEC_24,TYP_COMB,COAL,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,Existing,HCI
128,EA_C_MA,POL,POL_HEC_28,TYP_COMB,COAL,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,Existing,HIF
129,EA_C_MA,POL,POL_HNC_23,TYP_COMB,COAL,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,New,HCI
130,EA_C_MA,POL,POL_HNC_27,TYP_COMB,COAL,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,New,HIF
131,EA_C_MA,POL,POL_NEC_2,TYP_COMB,COAL,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,Existing,NOX
132,EA_C_MA,POL,POL_NNC_1,TYP_COMB,COAL,COMB_RANGE,<100,COMB_UNIT,All Types,TYP_PLANT,New,NOX
