CONT_MEAS,CRITER,CRITER_DESCR,CRIT_UNIT,CRIT_U,CRIT_L,SUBST,COND_GHGU,COND_GHGL,COND_UNIT,ENGN_CATG,VEH_CATG,VEH_SCATG,POWER_L,POWER_U,IGN_TYP,EMS_STG,TYR_CLASS,ENGF_CLASS,VERF_EPREL,RM,RM_L,RM_U,COMBP_L,COMBP_U,OPH_L,TYP_COMB,COMB_UNIT,CALC_MEAS,TYP_PLANT,LADEN_L,LADEN_U,ENERGYV,CRITICALITY
BAT-AEL,DNSH_POL_CU_EDC,Direct emissions of copper to a receiving water,G/T            ,0.2,0.04,EDC         ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_EDC_EDC,Direct emissions of EDC to a receiving water,G/T            ,0.05,0.01,EDC PURIFIED,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_PCDD/F_EDC,Direct emissions of PCDD/F to a receiving water,?G I-TEQ/T     ,0.3,0.1,EDC         ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
BAT-AEL,DNSH_POL_TVOC_H2O2,Emissions of TVOC to air from the oxidation unit,MG/NM3         ,25,5,TVOC        ,,150,G/H      ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
IMPL,DNSH_CEC,Circular economy,INDICATOR (Y/N),0,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
IMPL,DNSH_POL_IFC,"For construction site activities, activities follow the principles of the IFC General Environmental, Health, and Safety Guidelines",INDICATOR (Y/N),0,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
IMPL,DNSH_POL_EMAG,Respect applicable norms and regulations to limit impact of electromagnetic radiation on human health,INDICATOR (Y/N),0,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
IMPL,DNSH_POL_PCB,Activities do not use PCBs polyclorinated biphenyls,INDICATOR (Y/N),0,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
GHG,DNSH_CCM_GHG,The direct GHG emissions of the activity,GCO2E/KWH      ,270,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
IMPL,DNSH_BIO_OFFWIND,"Does not hamper the achievement of good environmental status as set out in Directive 2008/56/EC, in relation to that Directive�s Descriptors 1 (biodiversity) and 6 (seabed integrity).",INDICATOR (Y/N),0,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
IMPL,DNSH_WAT_OFFWIND,"The activity does not hamper the achievement of good environmental status as set out in Directive 2008/56/EC , requiring that the appropriate measures are taken to prevent or mitigate impacts in relation to that Directive�s Descriptor 11 (Noise/Energy).",INDICATOR (Y/N),0,0,            ,,,         ,         ,        ,,0,0,       ,       ,         ,          ,          ,   ,0,0,0,0,0,        ,         ,              ,         ,,,,
